radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
24.749505,0.129,-49.137439,0.33,13.444,0.206,8,14.054,0.033,8,NA,NA,0,13.657,0.045,7,13.212,0.013,6,13.096,0.109,7,13.091,0.013,2,NA,NA,0
24.751225,0.498,-47.988673,0.515,15.738,0.11,10,16.938,0.087,10,NA,NA,0,16.331,0.245,10,15.412,0.077,10,15.076,0.245,10,NA,NA,0,NA,NA,0
24.751662,0.473,-48.609381,0.708,17.643,0.208,1,18.029,0.209,1,NA,NA,0,18.025,0.156,3,17.693,0.03,3,NA,NA,0,NA,NA,0,NA,NA,0
24.751676,0.385,-47.841535,0.279,17.45,0.178,2,17.811,0.034,2,NA,NA,0,17.649,0.173,5,17.193,0.185,5,16.145,0.181,1,NA,NA,0,NA,NA,0
24.752292,0.387,-48.136247,0.337,16.683,0.182,6,17.803,0.14,6,NA,NA,0,17.407,0.329,10,16.199,0.099,10,15.775,0.123,9,NA,NA,0,NA,NA,0
24.753243,0.542,-47.731567,0.347,16.472,0.098,6,17.197,0.182,6,NA,NA,0,16.959,0.352,8,16.292,0.069,8,16.118,0.099,4,NA,NA,0,NA,NA,0
24.753639,0.462,-48.675895,0.357,17.616,0.212,3,18.065,0.105,3,NA,NA,0,18.049,0.01,2,17.428,0.106,2,NA,NA,0,NA,NA,0,NA,NA,0
24.754932,0.458,-49.550653,0.424,17.017,0.072,5,17.642,0.104,5,NA,NA,0,17.312,0.095,6,16.845,0.116,6,16.608,0.207,1,NA,NA,0,NA,NA,0
24.756446,0.426,-49.287682,0.352,16.625,0.192,6,17.655,0.186,6,NA,NA,0,17.213,0.114,7,16.171,0.135,7,15.744,0.064,6,NA,NA,0,NA,NA,0
24.757338,0.28,-48.891572,0.18,15.286,0.035,10,15.954,0.127,10,NA,NA,0,15.648,0.253,10,15.131,0.025,10,15.093,0.434,10,NA,NA,0,NA,NA,0
24.758153,0.819,-48.463136,0.368,17.568,0.213,1,18.601,0.415,1,NA,NA,0,17.968,0.146,6,17.006,0.097,6,16.591,0.107,5,NA,NA,0,NA,NA,0
24.758428,0.386,-49.108854,0.506,16.829,0.181,7,17.737,0.182,7,NA,NA,0,17.218,0.043,7,16.55,0.116,7,16.157,0.156,5,NA,NA,0,NA,NA,0
24.758541,0.224,-48.405937,0.161,15.533,0.063,10,16.365,0.104,10,NA,NA,0,15.988,0.272,10,15.296,0.048,10,15.17,0.325,10,NA,NA,0,NA,NA,0
24.758597,0.539,-48.882401,0.331,NA,NA,0,NA,NA,0,NA,NA,0,18.314,0.087,4,17.07,0.089,4,16.062,0.103,4,NA,NA,0,NA,NA,0
24.760163,0.398,-48.208456,0.41,NA,NA,0,NA,NA,0,NA,NA,0,18.608,0.308,3,17.501,0.163,3,NA,NA,0,NA,NA,0,NA,NA,0
24.760945,0.322,-48.116877,0.227,14.771,0.056,10,15.455,0.068,10,NA,NA,0,15.12,0.227,10,14.594,0.072,10,14.538,0.254,10,NA,NA,0,NA,NA,0
24.761419,0.362,-48.618805,0.289,16.252,0.106,9,17.332,0.126,9,NA,NA,0,16.856,0.215,10,15.871,0.077,10,15.395,0.116,9,NA,NA,0,NA,NA,0
24.764592,0.532,-48.054689,0.447,NA,NA,0,NA,NA,0,NA,NA,0,18.292,0.105,2,17.531,0.04,2,NA,NA,0,NA,NA,0,NA,NA,0
24.767218,0.359,-49.437305,0.334,17.177,0.104,4,18.069,0.106,4,NA,NA,0,17.491,0.108,5,16.928,0.158,6,16.494,0.166,3,NA,NA,0,NA,NA,0
24.768584,0.683,-49.050297,0.378,16.648,0.168,5,17.959,0.092,5,NA,NA,0,17.471,0.106,7,16.068,0.119,7,15.251,0.061,6,NA,NA,0,NA,NA,0
